	feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	score_input	libname	short_inchikey	structure_smiles_2D	structure_molecular_formula	adduct	structure_exact_mass	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	otl_organism_otol_species	lowest_matched_taxon	score_taxo	score_max_consistency	final_score	rank_final
41943	764	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	1.0	0.42465785	ISDB	NSUHFZHIKMSXME								['Verbascum bombyciferum']		0	0	1.6986314058303833	1
41940	760	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	1.0	0.2289534	ISDB	GDQAGTGWIBYTFP								['Verbascum bombyciferum']		0	0	0.9158136248588562	1
41939	742	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	1.0	0.42460716	ISDB	NSUHFZHIKMSXME								['Verbascum bombyciferum']		0	0	1.6984286308288574	1
41932	741	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	4.0	0.283282	ISDB	MAIRBOUIUZTTQK	CCCCCCCCCCCCCC1=C(c2c(O)cc(O)cc2CCCCCCCCCCCCC)C(=O)C=C(OC)C1=O	C39H62O5		610.459725084	Polyketides	Aromatic polyketides	Catechols with side chains	['Verbascum bombyciferum']	['Streptophyta']	4	0	5.133128046989441	1
41911	707	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	5.0	0.34282878	ISDB	FGPOGAUCGOZVPS	CCCCCCC=CC=CCCc1ccc(O)cc1	C18H26O		258.198365452	Polyketides	Aromatic polyketides	Catechols with side chains	['Verbascum bombyciferum']	['Streptophyta']	4	0	5.371315121650696	1
40709	704	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	7.0	0.70563334	ISDB	VZCCETWTMQHEPK	CCCCCC=CCC=CCC=CCCCCC(=O)O	C18H30O2		278.2245802	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	['Verbascum bombyciferum']	['Scrophulariaceae']	6	0	8.822533369064331	1
40704	695	-1							1.0	0.21851315	ISDB	MDAUFUALHVJQPD	CCC=CCC=CCC=CCC=CCCCCC(=O)OCC(COC1OC(CO)C(O)C(O)C1O)OC(=O)CCCCC=CCC=CCC=CCC=CCC	C45H70O10		770.49689844	Fatty acids	Glycerolipids	Glycosyldiacylglycerols	['Verbascum bombyciferum']	['Eukaryota']	1	0	1.8740525841712952	1
40700	694	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	1.0	0.38138238	ISDB	APGVHKPCMRXAPJ	CCCCCC=CCC=CCCCCCCCC(=O)OCC=Cc1cc(OC)c(OCC=C(C)CCC=C(C)C)c(OC)c1	C39H60O5		608.44407502				['Verbascum bombyciferum']	['Streptophyta']	4	0	5.525529503822327	1
40682	693	25	Terpenoids	0.5	Fatty Acids and Conjugates	0.5	Hydroxy fatty acids	0.5	8.0	0.5398836	ISDB	YURWZDJEVHQYGV	CCCCCCCCC=CCCCCCCC(O)C(=O)OC	C19H36O3		312.266445012	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	['Verbascum bombyciferum']	['Lamiales']	5	3	8.659534454345703	1
40677	692	-1							1.0	0.46021426	ISDB	QFIHQWXKTUONPL	CCCCCCCCCCCCCC=CC=CC(N)=O	C18H33NO		279.256214676				['Verbascum bombyciferum']	['Streptophyta']	4	0	5.840857028961182	1
40674	687	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	2.0	0.41161287	ISDB	HQPQTQQUHPFUOA	CC(C=CC=O)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C	C27H36O2		392.271530392	Terpenoids	Apocarotenoids	Apocarotenoids (β-)	['Verbascum bombyciferum']	['Streptophyta']	4	1	6.146451473236084	1
40669	686	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	1.0	0.31709436	ISDB	GTBFQOGSRWBGDY	CC12C=CC3(CCC4C(C)(C)C(=O)C(=Cc5ccccc5)CC4(C)C3CC1)C2	C27H34O		374.260965708	Terpenoids	Diterpenoids	Beyerane diterpenoids	['Verbascum bombyciferum']	['Streptophyta']	4	1	5.768377423286438	1
40652	685	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	1.0	0.46324077	ISDB	PAUIQDPAEDELMC	CC(C=O)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C	C25H34O2		366.255880328	Terpenoids	Apocarotenoids	Apocarotenoids (β-)	['Verbascum bombyciferum']	['Streptophyta']	4	1	6.352963089942932	1
40644	680	-1							2.0	0.24927634	ISDB	RLGBUTVIBWFTRW	CC1(O)CC23C=CC1CC2C1(C)CC(C(O)c2ccccc2)C(=O)C(C)(C)C1CC3	C27H36O3		408.266445012	Terpenoids	Diterpenoids	Atisane diterpenoids	['Verbascum bombyciferum']	['Streptophyta']	4	0	4.997105360031128	1
40642	673	6	Fatty acids	0.14285714285714285	Glycerophospholipids	0.14285714285714285	Glycerophosphocholines	0.14285714285714285	1.0	0.7172909	ISDB	HEALIQQDEGDSLS								['Verbascum bombyciferum']		0	0	2.8691635131835938	1
40435	668	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	4.0	0.7089602	ISDB	LUZSWWYKKLTDHU	CCCCCC=CC=CC(=O)CCCCCCCC(=O)O	C18H30O3		294.21949482				['Verbascum bombyciferum']	['Lamiales']	5	0	7.835840702056885	1
40240	665	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	21.0	0.46407223	ISDB	LUZSWWYKKLTDHU	CCCCCC=CC=CC(=O)CCCCCCCC(=O)O	C18H30O3		294.21949482				['Verbascum bombyciferum']	['Lamiales']	5	0	6.856288909912109	1
40129	664	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	12.0	0.6510789	ISDB	JNIPNHCEUZIVID	CCC=CCC=CCC=CCCCCC=CCC(=O)O	C18H28O2		276.208930136	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	['Verbascum bombyciferum']	['Lamiales']	5	0	7.604315519332886	1
40043	663	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	1.0	0.7432573	ISDB	ZCCLDKGWJIREQF	CCC=CCC=CCC=CCCCCCCCC(=O)OC(CO)CO	C21H36O4		352.261359632	Fatty acids	Glycerolipids	Monoacylglycerols	['Verbascum bombyciferum']	['Streptophyta']	4	0	6.973029136657715	1
40041	661	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	1.0	0.23280896	ISDB	ZYHCZHIJBQGRNF								['Verbascum bombyciferum']		0	0	0.9312358498573303	1
38839	659	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	3.0	0.7787101	ISDB	VZCCETWTMQHEPK	CCCCCC=CCC=CCC=CCCCCC(=O)O	C18H30O2		278.2245802	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	['Verbascum bombyciferum']	['Scrophulariaceae']	6	0	9.114840507507324	1
38838	656	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	1.0	0.21530674	ISDB	ZYHCZHIJBQGRNF								['Verbascum bombyciferum']		0	0	0.8612269759178162	1
38760	655	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	1.0	0.76930827	ISDB	ZCCLDKGWJIREQF	CCC=CCC=CCC=CCCCCCCCC(=O)OC(CO)CO	C21H36O4		352.261359632	Fatty acids	Glycerolipids	Monoacylglycerols	['Verbascum bombyciferum']	['Streptophyta']	4	0	7.077233076095581	1
38647	654	-1							10.0	0.5735897	ISDB	BNMYUQILBYIYOG	CCC=CCC(=O)C=CC=CCCCCCCCC(=O)O	C18H28O3		292.203844756	Fatty acids	Octadecanoids	Other Octadecanoids	['Verbascum bombyciferum']	['Lamiales']	5	0	7.294358730316162	1
38641	652	-1							1.0	0.26099578	ISDB	BCNPTKKIVMTZFO	CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=O	C22H30O2		326.2245802	Terpenoids	Apocarotenoids	Apocarotenoids (β-)	['Verbascum bombyciferum']	['Streptophyta']	4	0	5.043983101844788	1
38633	651	20	Fatty acids	0.5	Glycerophospholipids	0.5	Glycerophosphoethanolamines	0.5	2.0	0.57145464	ISDB	DBHKHNGBVGWQJE	CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN	C23H44NO7P		477.285539378	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	['Verbascum bombyciferum']	['Streptophyta']	4	3	7.785818576812744	1
38619	650	10	Terpenoids	0.3333333333333333	Sesquiterpenoids	0.16666666666666666	Bisabolane sesquiterpenoids	0.16666666666666666	1.0	0.37870586	ISDB	MQJPOSCYXGJLPQ	CCC(=O)OCC(C)=CCCC1(C)OC2(C)C=CC1CC2	C18H28O3		292.203844756	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids	['Verbascum bombyciferum']	['Streptophyta']	4	3	7.0148234367370605	1
38426	649	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	38.0	0.30491847	ISDB	XKOIGMCEYNMHJA	C=C(CO)C1C=C2C(OC)CC3C(C)(CO)C(O)CCC3(C)C2CC1	C21H34O4		350.245709568	Terpenoids	Diterpenoids	Pimarane and Isopimarane diterpenoids	['Verbascum bombyciferum']	['Lamiales']	5	1	6.7196738719940186	1
38355	648	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	1.0	0.69178665	ISDB	ZCCLDKGWJIREQF	CCC=CCC=CCC=CCCCCCCCC(=O)OC(CO)CO	C21H36O4		352.261359632	Fatty acids	Glycerolipids	Monoacylglycerols	['Verbascum bombyciferum']	['Streptophyta']	4	0	6.767146587371826	1
38244	647	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	12.0	0.66368777	ISDB	JNIPNHCEUZIVID	CCC=CCC=CCC=CCCCCC=CCC(=O)O	C18H28O2		276.208930136	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	['Verbascum bombyciferum']	['Lamiales']	5	0	7.6547510623931885	1
38131	646	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	14.0	0.670147	ISDB	JNIPNHCEUZIVID	CCC=CCC=CCC=CCCCCC=CCC(=O)O	C18H28O2		276.208930136	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	['Verbascum bombyciferum']	['Lamiales']	5	0	7.680588006973267	1
38062	645	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	1.0	0.71564883	ISDB	ZCCLDKGWJIREQF	CCC=CCC=CCC=CCCCCCCCC(=O)OC(CO)CO	C21H36O4		352.261359632	Fatty acids	Glycerolipids	Monoacylglycerols	['Verbascum bombyciferum']	['Streptophyta']	4	0	6.862595319747925	1
38057	643	6	Fatty acids	0.14285714285714285	Glycerophospholipids	0.14285714285714285	Glycerophosphocholines	0.14285714285714285	2.0	0.75386065	ISDB	WKQNRCYKYCKESD	CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C	C26H48NO7P		517.316839506	Fatty acids	Glycerophospholipids	Glycerophosphocholines	['Verbascum bombyciferum']	['Streptophyta']	4	3	8.515442609786987	1
37938	641	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	1.0	0.7723071	ISDB	HBRFKORKLCCQOQ	CC1=C(O)C(=O)CC2C1(C)CCC1CC(C)(O)CCC12C	C18H28O3		292.203844756	Terpenoids	Diterpenoids	Erythroxylane diterpenoids	['Verbascum bombyciferum']	['Streptophyta']	4	1	7.589228391647339	1
37719	636	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	13.0	0.43725774	ISDB	XKOIGMCEYNMHJA	C=C(CO)C1C=C2C(OC)CC3C(C)(CO)C(O)CCC3(C)C2CC1	C21H34O4		350.245709568	Terpenoids	Diterpenoids	Pimarane and Isopimarane diterpenoids	['Verbascum bombyciferum']	['Lamiales']	5	1	7.249030947685242	1
37707	635	21	Fatty acids	1.0	Sphingolipids	1.0	Sphingoid bases	1.0	1.0	0.6407291	ISDB	AERBNCYCJBRYDG	CCCCCCCCCCCCCCC(O)C(O)C(N)CO	C18H39NO3		317.292994108	Fatty acids	Sphingolipids	Sphingoid bases	['Verbascum bombyciferum']	['Streptophyta']	4	3	8.06291651725769	1
37498	632	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	24.0	0.3950705	ISDB	XKOIGMCEYNMHJA	C=C(CO)C1C=C2C(OC)CC3C(C)(CO)C(O)CCC3(C)C2CC1	C21H34O4		350.245709568	Terpenoids	Diterpenoids	Pimarane and Isopimarane diterpenoids	['Verbascum bombyciferum']	['Lamiales']	5	1	7.080281972885132	1
37391	631	-1							1.0	0.48790917	ISDB	SOECUQMRSRVZQQ	COC1=C(OC)C(=O)C(CC=C(C)C)=C(C)C1=O	C14H18O4		250.120509056	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	['Verbascum bombyciferum']	['Streptophyta']	4	0	5.9516366720199585	1
37372	630	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	2.0	0.30047214	ISDB	RSQWUKMYBGIWCC	COC1CC(C)Oc2cccc(O)c21	C11H14O3		194.094294308	Terpenoids	Meroterpenoids	Meromonoterpenoids	['Verbascum bombyciferum']	['Streptophyta']	4	1	5.701888561248779	1
37367	628	21	Fatty acids	1.0	Sphingolipids	1.0	Sphingoid bases	1.0	1.0	0.6151186	ISDB	CQKNELOTFUSOTP	CCCCCCCCCC=CCCCC(O)C(O)C(N)CO	C18H37NO3		315.277344044	Fatty acids	Sphingolipids	Sphingoid bases	['Verbascum bombyciferum']	['Streptophyta']	4	3	7.960474491119385	1
37287	627	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	5.0	0.5166725	ISDB	IHFRPKCRDFDADJ	C=C1C(=O)C=CC2C1(C)CCC1CC(C)(O)CCC12C	C18H26O2		274.193280072	Terpenoids	Diterpenoids	Erythroxylane diterpenoids	['Verbascum bombyciferum']	['Streptophyta']	4	1	6.566689968109131	1
37283	625	-1							2.0	0.317343	ISDB	GGEHGIPZDUKHHM	CC(=O)OC1C2C(CC3(C)CCCC(C)(O)C13)OC(=O)C2C	C17H26O5		310.178023932	Terpenoids	Sesquiterpenoids	Eudesmane sesquiterpenoids	['Verbascum bombyciferum']	['Streptophyta']	4	0	5.26937198638916	1
37217	624	-1							12.0	0.4168922	ISDB	WMAMGZISNJIRAE	CCCCCC=CCC#CC#CCCCCCC(=O)O	C18H26O2		274.193280072	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	['Verbascum bombyciferum']	['Streptophyta']	4	0	5.667568802833557	1
37078	623	-1							5.0	0.3572092	ISDB	NSVMMMROPMMCOH	CCCCCCC=CC=CC#CC#CCC=CCO	C18H24O		256.182715388	Fatty acids	Fatty acyls	Fatty alcohols	['Verbascum bombyciferum']	['Streptophyta']	4	0	5.428836822509766	1
36865	622	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	18.0	0.6329912	ISDB	LUZSWWYKKLTDHU	CCCCCC=CC=CC(=O)CCCCCCCC(=O)O	C18H30O3		294.21949482				['Verbascum bombyciferum']	['Lamiales']	5	0	7.5319647789001465	1
36808	615	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	19.0	0.2996476	ISDB	XHUGGGNADRQBIR	CC(=O)C1CCC23C=CC(C)(CCC2C1(C)CC(=O)O)C3	C18H26O3		290.188194692	Terpenoids	Diterpenoids	Secokaurane diterpenoids	['Verbascum bombyciferum']	['Lamiales']	5	1	6.698590397834778	1
36707	611	25	Terpenoids	0.5	Fatty Acids and Conjugates	0.5	Hydroxy fatty acids	0.5	12.0	0.49502176	ISDB	DSXFEBWYDMBLBH	COc1cc2c(cc1C)C(O)C(O)CC2C	C13H18O3		222.125594436	Terpenoids			['Verbascum bombyciferum']	['Streptophyta']	4	1	6.480087041854858	1
36626	609	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	15.0	0.28812563	ISDB	XHUGGGNADRQBIR	CC(=O)C1CCC23C=CC(C)(CCC2C1(C)CC(=O)O)C3	C18H26O3		290.188194692	Terpenoids	Diterpenoids	Secokaurane diterpenoids	['Verbascum bombyciferum']	['Lamiales']	5	1	6.652502536773682	1
36597	608	18	Shikimates and Phenylpropanoids	0.3333333333333333	Lignans	0.3333333333333333	Flavones	0.3333333333333333	3.0	0.69505644	ISDB	OJUFMXZXXZASBJ	COc1cc(C2Oc3cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc4c3OC2CO)ccc1O	C25H20O9		464.11073222	Shikimates and Phenylpropanoids	Flavonoids	Flavones	['Verbascum bombyciferum']	['Lamiales']	5	3	9.28022575378418	1
36498	607	-1							2.0	0.50799	ISDB	LLUGDEYQSVTJSI	Cc1cc2c(cc1O)C=C1CCC(O)C(C)(C)C1CC2	C18H24O2		272.177630008	Terpenoids	Diterpenoids	Abeoabietane diterpenoids	['Verbascum bombyciferum']	['Streptophyta']	4	0	6.0319600105285645	1
36396	603	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	3.0	0.70790976	ISDB	IUFQXXXVUIYVOZ	CC1=COC(=O)C2C(C)CCCC12	C11H16O2		180.115029752	Terpenoids	Monoterpenoids	Iridoids monoterpenoids	['Verbascum bombyciferum']	['Lamiales']	5	3	9.331639051437378	1
36353	596	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	8.0	0.6558305	ISDB	VFNUNYPYULIJSN	CC(C)c1ccc(C(C)C)c(O)c1	C12H18O		178.135765196	Terpenoids	Monoterpenoids	Menthane monoterpenoids	['Verbascum bombyciferum']	['Lamiales']	5	2	8.623322010040283	1
33019	592	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	129.0	0.58137536	ISDB	FRMCCTDTYSRUBE	C=C1CCC2C(C3C1CCC3(C)O)C2(C)C	C15H24O		220.182715388	Terpenoids	Sesquiterpenoids	Aromadendrane sesquiterpenoids	['Verbascum bombyciferum']	['Scrophulariaceae']	6	1	8.825501441955566	1
32085	591	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	4.0	0.6817367	ISDB	LVIDDMJSLAVTSZ	Cc1ccc(C(C)C)c2c1CCC(C)C2	C15H22		202.172150704	Terpenoids	Sesquiterpenoids	Cadinane sesquiterpenoids	['Verbascum bombyciferum']	['Lamiales']	5	1	8.226946830749512	1
31151	584	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	2.0	0.7067185	ISDB	LVIDDMJSLAVTSZ	Cc1ccc(C(C)C)c2c1CCC(C)C2	C15H22		202.172150704	Terpenoids	Sesquiterpenoids	Cadinane sesquiterpenoids	['Verbascum bombyciferum']	['Lamiales']	5	1	8.326874017715454	1
31149	575	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	1.0	0.0	MS1_match	VELYAQRXBJLJAK	CC1(O)CC(O)C2C=COC(OC3OC(CO)C(O)C(O)C3O)C21	C15H24O9	pos_1_1proton1ethylamine	348.142032348	Terpenoids	Monoterpenoids	Iridoids monoterpenoids	['Verbascum bombyciferum']	['Verbascum bombyciferum']	8	3	9.5	1
31120	567	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	3.0	0.6423032	ISDB	XSNMUAUBDFNEIO	COc1cnc(C(C)CO)c2[nH]c3ccccc3c12	C15H16N2O2		256.121177752	Alkaloids	Tryptophan alkaloids	Carboline alkaloids	['Verbascum bombyciferum']	['Streptophyta']	4	0	6.569212913513184	1
31073	564	-1							1.0	0.76089346	ISDB	YYBMBBAPYWDAJX	Cn1c(=O)c2c(c3cccc(O)c31)OC(C)(C)C=C2	C15H15NO3		257.10519334	Alkaloids	Anthranilic acid alkaloids	Quinoline alkaloids	['Verbascum bombyciferum']	['Streptophyta']	4	0	7.04357385635376	1
30917	562	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	4.0	0.4302406	ISDB	POIARNZEYGURDG	CC=CC(=O)C1=C(C)C=CCC1(C)C	C13H18O		190.135765196	Terpenoids	Apocarotenoids	Apocarotenoids (β-)	['Verbascum bombyciferum']	['Lamiales']	5	1	7.220962405204773	1
30914	560	24	Alkaloids	0.5					1.0	0.5082922	ISDB	TVKRNRXCYDYICD	CCCC(C)(O)C1CC(C)CC2(CN3CCCC3C(C)(O)C2O)O1	C19H35NO4		341.2566086	Alkaloids			['Verbascum bombyciferum']	['Eukaryota']	1	1	3.5331687927246094	1
30871	554	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	9.0	0.6347421	ISDB	VFNUNYPYULIJSN	CC(C)c1ccc(C(C)C)c(O)c1	C12H18O		178.135765196	Terpenoids	Monoterpenoids	Menthane monoterpenoids	['Verbascum bombyciferum']	['Lamiales']	5	2	8.538968324661255	1
